BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8
594.1885452655413,426.49382034120623,427.81885280011284,594.6497011772265,532.5932092961157,340.0392471491778,400.03733157427104,427.6494102415055
597.9799125941513,428.3813291276348,422.41233311064576,595.353344392124,536.0374983283423,336.0402073218946,400.5648349105767,432.37032801930536
602.1205109512016,429.93811170886875,416.55607298519544,596.8598140976014,539.8464082618771,332.7791947862659,401.9752186724884,437.66371534365055
606.728460731985,431.3729426957722,410.85574120516344,598.3731093820845,544.30804121182,330.70264053785974,403.97334842186,442.9705684527778
611.2765316155185,433.4354115832019,405.5776258798825,600.3758475685867,548.7206508574027,329.83287943038226,406.2578427761828,448.52156095946896
615.1131556731082,437.0430980830683,400.62552327073996,601.0259223193459,552.3145286092571,328.90071888362274,407.6235293278955,453.82294531731606
617.7323031776391,442.1715236822939,397.04904309720234,600.072614620181,554.6266367114514,327.83517331296275,407.5403254950311,457.93018464243653
618.6917010867846,448.5862756454484,394.93031119450507,597.57373381569,555.4497915139847,326.8792284048637,406.0471668697971,461.30576243835253
618.904666425422,454.9461187778324,394.0468712566909,594.2135063395913,555.5677673095361,327.03618325821725,404.2526081776186,464.008752120297
618.2539406965806,461.1482374512726,394.3081023226104,589.9824576849412,554.4377964664013,327.5470310246652,401.2139530552801,465.87767339996395
616.5244117102948,466.9009106374456,396.04741712850085,585.9020404063914,552.9235101536326,328.7428631833344,398.3440594786742,466.87818784326885
613.291397096019,471.6465489905562,399.8859020543982,580.7173310207942,549.4029568192879,329.67805150902836,394.37481292166547,465.93577895089027
608.4341478337799,473.89897326291566,404.4507412894103,575.5131034618693,544.6673812737926,329.20121981196854,389.15910523571563,462.4899782319593
603.6475331717124,474.69236952060754,409.63804148454994,571.4275479331276,539.6087364591282,328.37066323043086,384.6313156595191,458.0456456968455
598.9994652083699,472.74368734162147,413.7962902739407,569.1082937523706,535.2283027239998,326.47054869671325,380.73035643839523,452.81914691346674
595.7987225135457,469.4030379983214,416.652708961554,569.2610038263455,532.1158788030036,324.18122467443436,379.10094386356775,447.7544765618575
593.7933549020468,464.47777364688847,418.45862204913345,570.7735478598267,530.4010482371222,322.3336164974687,379.1790245203648,443.76490618698597
593.2690815949666,459.06855467384844,419.3432275732814,573.839043133765,529.7083538302757,321.90414296335854,381.2803238715808,440.43764017359655
593.1703163289753,453.15363818040254,420.6884727562466,577.7273350163837,529.9707128260613,322.813357608251,384.05790714040035,437.6261129618515
593.2110736987446,446.99121952300203,421.66127187095503,581.2517477690601,530.5449730540465,325.0592199273738,387.1561418011113,434.9774694409622
593.2848571059134,441.2509676938196,423.0813602467491,585.0395121287008,530.6693446426776,328.3482453071456,390.421508693544,432.2997247557928
592.8280781251528,436.16561668372213,425.1087660418002,587.9773680318924,530.7766096177768,332.3971119515788,393.6330190406982,430.1270068505669
591.6733040706807,431.57123316722914,427.72507708155234,590.0166772273093,529.6698478143041,336.4676121709632,395.28096691782076,426.7429310425113
588.9406009403788,429.27431072019635,431.9959444838544,590.1852002115559,527.1199210744373,340.4801077005194,395.7854662620517,422.70803105945174
584.1508020088183,428.8887170203892,436.88813224218836,587.8647610326548,522.8994419464802,344.2380697096546,393.9217817747395,417.54219179873337
578.6539616636003,430.183130416903,442.36170476281484,584.5369787210759,517.4348823659045,347.3338691108751,391.37946157647445,411.7234434108134
572.7046940571736,432.07776392779783,448.165338848717,580.9471260249984,511.65160433111134,351.19304968411916,388.54092760790263,405.67596756376605
566.8414282972441,434.78640237000593,454.27233599890474,577.4849069872462,505.97333002301104,355.624832934632,386.11164995164336,399.78468862122565
561.3357096477496,437.7024035845352,460.34403258700297,573.6739297445681,500.4921360016403,360.21026768729587,384.02323740467597,394.1443537948532
555.127948178872,441.1561607196036,465.89562783578333,569.5573292777823,494.5980070619618,364.4052831379928,381.5354633125371,388.5046433111795
549.2752093987533,445.33059677351133,471.3265850466889,565.4100312657084,488.919412191539,368.7088782434214,379.0642589176649,383.2893847765543
544.5744994026397,449.7756122412518,475.94624416828265,561.2626357426639,483.7592425528258,372.3144396750101,376.6365260630711,379.17351320225026
540.7585120996777,454.0597502082203,479.0372874998625,557.4569468169143,480.0767838679092,374.4603738901956,373.6958619728038,376.80078100839705
538.3777697073529,457.5410520160567,480.1530304376175,554.2011728236234,477.57562542710656,374.8962194292474,370.80683619987786,376.38716629850836
537.8524818804738,460.1877957655427,479.2225145414947,551.3093770486723,476.54266277302463,373.52318220035943,367.4214941401223,378.0291852828483
538.3143000174676,462.3831816453712,478.10810971052433,549.2350867749738,476.77272812730166,371.8496529353098,364.6200508901253,380.03100403370564
538.0650249202658,464.54584346043464,477.3425208125269,546.9304772424418,476.1376579130806,370.5664532321339,361.64047501971976,381.6572100074803
536.8029153259677,467.3653380983654,478.19278918336425,544.506564259183,474.7316598990218,371.38107686964827,359.07578884035775,382.0292824084868
533.9796931050477,471.0209812579767,480.4696740693371,541.1909397528647,472.0167810290875,373.07523943651506,357.01380380897325,381.4914989695593
530.3542380108662,474.67712984722516,484.1841585974711,537.6656507785623,468.0280578543088,376.72086950111384,355.101021783041,379.70211537174976
525.376069366222,478.33328295892477,488.5914319546537,533.4472773718243,462.96214426044855,381.12569543360763,353.20493091349323,376.63455685600655
519.5263137599912,482.96761265591016,494.3158957359284,528.9667882378236,457.3551739165051,386.55971878770896,352.5859961289629,373.1550947810012
512.812729187604,488.1393267512215,500.538590073454,523.8913810958602,450.54500013743666,392.51080915463564,352.19352630270345,369.75445571769615
506.0494788993427,493.7697553935561,507.5718052200041,519.097850441454,443.7549524936235,399.12564799709224,353.5890999440029,366.9585454997769
498.8719861751014,499.3718860468488,514.0683072282282,513.565044812434,436.5032774104326,405.75519839813603,354.7744366413561,364.44241907769333
491.80787831326074,505.4981004707519,521.110293881037,508.70451938528004,429.2911050409731,412.9500423674561,357.5935450369539,362.8195871630202
484.63083270470185,511.2546211007183,527.7343932934459,503.3579146570435,422.2228557425761,419.72032557526427,360.7068861670442,362.1577289272201
477.9220605681395,516.7482502522129,534.196589267638,498.73598007634996,415.3902132727928,425.9767720424052,364.1216570168969,361.84480557328084
471.88373849221847,522.4190312617735,540.4408456060157,494.80178269549754,409.36627810338626,432.19390253232916,368.2150508728185,362.6592179290762
466.08354006862896,527.017352162005,545.954120245301,490.85011637620164,403.6658117565272,437.6303408837606,371.7508566956823,363.544144175564
461.3671633061542,531.4189208218947,550.5171478585128,488.30435318918194,399.0001676343715,442.48532857043364,375.4167808471809,365.05298164095126
457.76359725098735,534.232071865093,554.6976106272741,487.04224204087996,395.64006402940174,446.3475754057059,378.9850852157312,365.42844926711405
455.15322312413036,535.10446766121,557.7771046482305,487.8019232500579,393.24657795202586,449.4332050753495,382.69198019994053,364.30683384564503
453.8850004164884,534.5973191916983,559.7853153039399,489.96127283750445,392.49415387771876,451.0353613235774,385.7374931451192,362.02818845899236
